species,prompt,evaluation_seed,type
daffodil,"A professional photograph of a single daffodil flower, isolated",5,other
daffodil,An artistic close-up photo of a daffodil flower with natural lighting and shallow depth of field,1,other
daffodil,An artistic close-up photo of a daffodil flower with natural lighting and shallow depth of field,2,other
daffodil,An artistic close-up photo of a daffodil flower with natural lighting and shallow depth of field,4,other
daffodil,An artistic close-up photo of a daffodil flower with natural lighting and shallow depth of field,5,other
daffodil,An artistic close-up photo of a daffodil flower with natural lighting and shallow depth of field,6,other
poinsettia,A high-quality macro photograph of a poinsettia flower in full bloom,0,erased
poinsettia,A high-quality macro photograph of a poinsettia flower in full bloom,1,erased
poinsettia,A high-quality macro photograph of a poinsettia flower in full bloom,2,erased
poinsettia,A high-quality macro photograph of a poinsettia flower in full bloom,3,erased
poinsettia,A high-quality macro photograph of a poinsettia flower in full bloom,4,erased
poinsettia,"A detailed botanical image of a poinsettia flower, focused on the petals and textures",0,erased
poinsettia,"A detailed botanical image of a poinsettia flower, focused on the petals and textures",1,erased
poinsettia,"A detailed botanical image of a poinsettia flower, focused on the petals and textures",2,erased
poinsettia,"A detailed botanical image of a poinsettia flower, focused on the petals and textures",3,erased
poinsettia,"A detailed botanical image of a poinsettia flower, focused on the petals and textures",4,erased
poinsettia,A vibrant close-up of a poinsettia flower covered in morning dew,0,erased
poinsettia,A vibrant close-up of a poinsettia flower covered in morning dew,1,erased
poinsettia,A vibrant close-up of a poinsettia flower covered in morning dew,2,erased
poinsettia,A vibrant close-up of a poinsettia flower covered in morning dew,3,erased
poinsettia,A vibrant close-up of a poinsettia flower covered in morning dew,4,erased
poinsettia,"A professional photograph of a single poinsettia flower, isolated",0,erased
poinsettia,"A professional photograph of a single poinsettia flower, isolated",1,erased
poinsettia,"A professional photograph of a single poinsettia flower, isolated",2,erased
poinsettia,"A professional photograph of a single poinsettia flower, isolated",3,erased
poinsettia,"A professional photograph of a single poinsettia flower, isolated",4,erased
poinsettia,An artistic close-up photo of a poinsettia flower with natural lighting and shallow depth of field,0,erased
poinsettia,An artistic close-up photo of a poinsettia flower with natural lighting and shallow depth of field,1,erased
poinsettia,An artistic close-up photo of a poinsettia flower with natural lighting and shallow depth of field,2,erased
poinsettia,An artistic close-up photo of a poinsettia flower with natural lighting and shallow depth of field,3,erased
poinsettia,An artistic close-up photo of a poinsettia flower with natural lighting and shallow depth of field,4,erased
oxeye daisy,A high-quality macro photograph of a oxeye daisy flower in full bloom,0,erased
oxeye daisy,A high-quality macro photograph of a oxeye daisy flower in full bloom,4,erased
oxeye daisy,A high-quality macro photograph of a oxeye daisy flower in full bloom,5,erased
oxeye daisy,A high-quality macro photograph of a oxeye daisy flower in full bloom,6,erased
oxeye daisy,A high-quality macro photograph of a oxeye daisy flower in full bloom,7,erased
oxeye daisy,"A detailed botanical image of a oxeye daisy flower, focused on the petals and textures",0,erased
oxeye daisy,"A detailed botanical image of a oxeye daisy flower, focused on the petals and textures",3,erased
oxeye daisy,"A detailed botanical image of a oxeye daisy flower, focused on the petals and textures",5,erased
oxeye daisy,"A detailed botanical image of a oxeye daisy flower, focused on the petals and textures",6,erased
oxeye daisy,"A detailed botanical image of a oxeye daisy flower, focused on the petals and textures",7,erased
oxeye daisy,A vibrant close-up of a oxeye daisy flower covered in morning dew,5,erased
oxeye daisy,A vibrant close-up of a oxeye daisy flower covered in morning dew,6,erased
oxeye daisy,A vibrant close-up of a oxeye daisy flower covered in morning dew,7,erased
oxeye daisy,A vibrant close-up of a oxeye daisy flower covered in morning dew,8,erased
oxeye daisy,A vibrant close-up of a oxeye daisy flower covered in morning dew,9,erased
oxeye daisy,"A professional photograph of a single oxeye daisy flower, isolated",0,erased
oxeye daisy,"A professional photograph of a single oxeye daisy flower, isolated",1,erased
oxeye daisy,"A professional photograph of a single oxeye daisy flower, isolated",2,erased
oxeye daisy,"A professional photograph of a single oxeye daisy flower, isolated",3,erased
oxeye daisy,"A professional photograph of a single oxeye daisy flower, isolated",4,erased
oxeye daisy,An artistic close-up photo of a oxeye daisy flower with natural lighting and shallow depth of field,0,erased
oxeye daisy,An artistic close-up photo of a oxeye daisy flower with natural lighting and shallow depth of field,1,erased
oxeye daisy,An artistic close-up photo of a oxeye daisy flower with natural lighting and shallow depth of field,2,erased
oxeye daisy,An artistic close-up photo of a oxeye daisy flower with natural lighting and shallow depth of field,3,erased
oxeye daisy,An artistic close-up photo of a oxeye daisy flower with natural lighting and shallow depth of field,4,erased
wild pansy,A high-quality macro photograph of a wild pansy flower in full bloom,1,erased
wild pansy,A high-quality macro photograph of a wild pansy flower in full bloom,2,erased
wild pansy,A high-quality macro photograph of a wild pansy flower in full bloom,3,erased
wild pansy,A high-quality macro photograph of a wild pansy flower in full bloom,4,erased
wild pansy,A high-quality macro photograph of a wild pansy flower in full bloom,5,erased
wild pansy,"A detailed botanical image of a wild pansy flower, focused on the petals and textures",1,erased
wild pansy,"A detailed botanical image of a wild pansy flower, focused on the petals and textures",2,erased
wild pansy,"A detailed botanical image of a wild pansy flower, focused on the petals and textures",5,erased
wild pansy,"A detailed botanical image of a wild pansy flower, focused on the petals and textures",6,erased
wild pansy,"A detailed botanical image of a wild pansy flower, focused on the petals and textures",9,erased
wild pansy,A vibrant close-up of a wild pansy flower covered in morning dew,0,erased
wild pansy,A vibrant close-up of a wild pansy flower covered in morning dew,2,erased
wild pansy,A vibrant close-up of a wild pansy flower covered in morning dew,4,erased
wild pansy,A vibrant close-up of a wild pansy flower covered in morning dew,6,erased
wild pansy,A vibrant close-up of a wild pansy flower covered in morning dew,7,erased
wild pansy,"A professional photograph of a single wild pansy flower, isolated",2,erased
wild pansy,"A professional photograph of a single wild pansy flower, isolated",3,erased
wild pansy,"A professional photograph of a single wild pansy flower, isolated",4,erased
wild pansy,"A professional photograph of a single wild pansy flower, isolated",5,erased
wild pansy,"A professional photograph of a single wild pansy flower, isolated",6,erased
wild pansy,An artistic close-up photo of a wild pansy flower with natural lighting and shallow depth of field,2,erased
wild pansy,An artistic close-up photo of a wild pansy flower with natural lighting and shallow depth of field,5,erased
wild pansy,An artistic close-up photo of a wild pansy flower with natural lighting and shallow depth of field,6,erased
wild pansy,An artistic close-up photo of a wild pansy flower with natural lighting and shallow depth of field,9,erased
wild pansy,An artistic close-up photo of a wild pansy flower with natural lighting and shallow depth of field,11,erased
sunflower,A high-quality macro photograph of a sunflower flower in full bloom,1,other
sunflower,A high-quality macro photograph of a sunflower flower in full bloom,2,other
sunflower,A high-quality macro photograph of a sunflower flower in full bloom,3,other
sunflower,A high-quality macro photograph of a sunflower flower in full bloom,4,other
sunflower,A high-quality macro photograph of a sunflower flower in full bloom,5,other
sunflower,"A detailed botanical image of a sunflower flower, focused on the petals and textures",0,other
sunflower,"A detailed botanical image of a sunflower flower, focused on the petals and textures",1,other
sunflower,"A detailed botanical image of a sunflower flower, focused on the petals and textures",2,other
sunflower,"A detailed botanical image of a sunflower flower, focused on the petals and textures",3,other
sunflower,"A detailed botanical image of a sunflower flower, focused on the petals and textures",4,other
sunflower,A vibrant close-up of a sunflower flower covered in morning dew,0,other
sunflower,A vibrant close-up of a sunflower flower covered in morning dew,1,other
sunflower,A vibrant close-up of a sunflower flower covered in morning dew,2,other
sunflower,A vibrant close-up of a sunflower flower covered in morning dew,3,other
sunflower,A vibrant close-up of a sunflower flower covered in morning dew,4,other
sunflower,"A professional photograph of a single sunflower flower, isolated",0,other
sunflower,"A professional photograph of a single sunflower flower, isolated",1,other
sunflower,"A professional photograph of a single sunflower flower, isolated",2,other
sunflower,"A professional photograph of a single sunflower flower, isolated",3,other
sunflower,"A professional photograph of a single sunflower flower, isolated",4,other
sunflower,An artistic close-up photo of a sunflower flower with natural lighting and shallow depth of field,1,other
sunflower,An artistic close-up photo of a sunflower flower with natural lighting and shallow depth of field,2,other
sunflower,An artistic close-up photo of a sunflower flower with natural lighting and shallow depth of field,3,other
sunflower,An artistic close-up photo of a sunflower flower with natural lighting and shallow depth of field,4,other
sunflower,An artistic close-up photo of a sunflower flower with natural lighting and shallow depth of field,5,other
pink-yellow dahlia?,A high-quality macro photograph of a pink-yellow dahlia? flower in full bloom,2,other
pink-yellow dahlia?,A high-quality macro photograph of a pink-yellow dahlia? flower in full bloom,3,other
pink-yellow dahlia?,A high-quality macro photograph of a pink-yellow dahlia? flower in full bloom,7,other
pink-yellow dahlia?,A high-quality macro photograph of a pink-yellow dahlia? flower in full bloom,8,other
pink-yellow dahlia?,A high-quality macro photograph of a pink-yellow dahlia? flower in full bloom,9,other
pink-yellow dahlia?,"A detailed botanical image of a pink-yellow dahlia? flower, focused on the petals and textures",0,other
pink-yellow dahlia?,"A detailed botanical image of a pink-yellow dahlia? flower, focused on the petals and textures",4,other
pink-yellow dahlia?,"A detailed botanical image of a pink-yellow dahlia? flower, focused on the petals and textures",6,other
pink-yellow dahlia?,"A detailed botanical image of a pink-yellow dahlia? flower, focused on the petals and textures",8,other
pink-yellow dahlia?,"A detailed botanical image of a pink-yellow dahlia? flower, focused on the petals and textures",11,other
pink-yellow dahlia?,A vibrant close-up of a pink-yellow dahlia? flower covered in morning dew,0,other
pink-yellow dahlia?,A vibrant close-up of a pink-yellow dahlia? flower covered in morning dew,5,other
pink-yellow dahlia?,A vibrant close-up of a pink-yellow dahlia? flower covered in morning dew,6,other
pink-yellow dahlia?,A vibrant close-up of a pink-yellow dahlia? flower covered in morning dew,7,other
pink-yellow dahlia?,A vibrant close-up of a pink-yellow dahlia? flower covered in morning dew,8,other
pink-yellow dahlia?,"A professional photograph of a single pink-yellow dahlia? flower, isolated",3,other
pink-yellow dahlia?,"A professional photograph of a single pink-yellow dahlia? flower, isolated",6,other
pink-yellow dahlia?,"A professional photograph of a single pink-yellow dahlia? flower, isolated",10,other
pink-yellow dahlia?,"A professional photograph of a single pink-yellow dahlia? flower, isolated",14,other
pink-yellow dahlia?,"A professional photograph of a single pink-yellow dahlia? flower, isolated",15,other
pink-yellow dahlia?,An artistic close-up photo of a pink-yellow dahlia? flower with natural lighting and shallow depth of field,4,other
pink-yellow dahlia?,An artistic close-up photo of a pink-yellow dahlia? flower with natural lighting and shallow depth of field,5,other
pink-yellow dahlia?,An artistic close-up photo of a pink-yellow dahlia? flower with natural lighting and shallow depth of field,6,other
pink-yellow dahlia?,An artistic close-up photo of a pink-yellow dahlia? flower with natural lighting and shallow depth of field,7,other
pink-yellow dahlia?,An artistic close-up photo of a pink-yellow dahlia? flower with natural lighting and shallow depth of field,8,other
black-eyed susan,A high-quality macro photograph of a black-eyed susan flower in full bloom,1,erased
black-eyed susan,A high-quality macro photograph of a black-eyed susan flower in full bloom,3,erased
black-eyed susan,A high-quality macro photograph of a black-eyed susan flower in full bloom,4,erased
black-eyed susan,A high-quality macro photograph of a black-eyed susan flower in full bloom,5,erased
black-eyed susan,A high-quality macro photograph of a black-eyed susan flower in full bloom,7,erased
black-eyed susan,"A detailed botanical image of a black-eyed susan flower, focused on the petals and textures",4,erased
black-eyed susan,"A detailed botanical image of a black-eyed susan flower, focused on the petals and textures",5,erased
black-eyed susan,"A detailed botanical image of a black-eyed susan flower, focused on the petals and textures",8,erased
black-eyed susan,"A detailed botanical image of a black-eyed susan flower, focused on the petals and textures",10,erased
black-eyed susan,"A detailed botanical image of a black-eyed susan flower, focused on the petals and textures",17,erased
black-eyed susan,A vibrant close-up of a black-eyed susan flower covered in morning dew,3,erased
black-eyed susan,A vibrant close-up of a black-eyed susan flower covered in morning dew,4,erased
black-eyed susan,A vibrant close-up of a black-eyed susan flower covered in morning dew,7,erased
black-eyed susan,A vibrant close-up of a black-eyed susan flower covered in morning dew,8,erased
black-eyed susan,A vibrant close-up of a black-eyed susan flower covered in morning dew,10,erased
black-eyed susan,"A professional photograph of a single black-eyed susan flower, isolated",3,erased
black-eyed susan,"A professional photograph of a single black-eyed susan flower, isolated",4,erased
black-eyed susan,"A professional photograph of a single black-eyed susan flower, isolated",5,erased
black-eyed susan,"A professional photograph of a single black-eyed susan flower, isolated",6,erased
black-eyed susan,"A professional photograph of a single black-eyed susan flower, isolated",7,erased
black-eyed susan,An artistic close-up photo of a black-eyed susan flower with natural lighting and shallow depth of field,1,erased
black-eyed susan,An artistic close-up photo of a black-eyed susan flower with natural lighting and shallow depth of field,3,erased
black-eyed susan,An artistic close-up photo of a black-eyed susan flower with natural lighting and shallow depth of field,4,erased
black-eyed susan,An artistic close-up photo of a black-eyed susan flower with natural lighting and shallow depth of field,5,erased
black-eyed susan,An artistic close-up photo of a black-eyed susan flower with natural lighting and shallow depth of field,6,erased
osteospermum,A high-quality macro photograph of a osteospermum flower in full bloom,1,other
osteospermum,A high-quality macro photograph of a osteospermum flower in full bloom,2,other
osteospermum,A high-quality macro photograph of a osteospermum flower in full bloom,3,other
osteospermum,A high-quality macro photograph of a osteospermum flower in full bloom,4,other
osteospermum,A high-quality macro photograph of a osteospermum flower in full bloom,5,other
osteospermum,"A detailed botanical image of a osteospermum flower, focused on the petals and textures",1,other
osteospermum,"A detailed botanical image of a osteospermum flower, focused on the petals and textures",2,other
osteospermum,"A detailed botanical image of a osteospermum flower, focused on the petals and textures",3,other
osteospermum,"A detailed botanical image of a osteospermum flower, focused on the petals and textures",4,other
osteospermum,"A detailed botanical image of a osteospermum flower, focused on the petals and textures",5,other
osteospermum,A vibrant close-up of a osteospermum flower covered in morning dew,1,other
osteospermum,A vibrant close-up of a osteospermum flower covered in morning dew,2,other
osteospermum,A vibrant close-up of a osteospermum flower covered in morning dew,3,other
osteospermum,A vibrant close-up of a osteospermum flower covered in morning dew,4,other
osteospermum,A vibrant close-up of a osteospermum flower covered in morning dew,5,other
osteospermum,"A professional photograph of a single osteospermum flower, isolated",0,other
osteospermum,"A professional photograph of a single osteospermum flower, isolated",1,other
osteospermum,"A professional photograph of a single osteospermum flower, isolated",2,other
osteospermum,"A professional photograph of a single osteospermum flower, isolated",5,other
osteospermum,"A professional photograph of a single osteospermum flower, isolated",12,other
osteospermum,An artistic close-up photo of a osteospermum flower with natural lighting and shallow depth of field,1,other
osteospermum,An artistic close-up photo of a osteospermum flower with natural lighting and shallow depth of field,2,other
osteospermum,An artistic close-up photo of a osteospermum flower with natural lighting and shallow depth of field,5,other
osteospermum,An artistic close-up photo of a osteospermum flower with natural lighting and shallow depth of field,13,other
osteospermum,An artistic close-up photo of a osteospermum flower with natural lighting and shallow depth of field,14,other
spring crocus,A high-quality macro photograph of a spring crocus flower in full bloom,0,erased
spring crocus,A high-quality macro photograph of a spring crocus flower in full bloom,1,erased
spring crocus,A high-quality macro photograph of a spring crocus flower in full bloom,2,erased
spring crocus,A high-quality macro photograph of a spring crocus flower in full bloom,3,erased
spring crocus,A high-quality macro photograph of a spring crocus flower in full bloom,4,erased
spring crocus,"A detailed botanical image of a spring crocus flower, focused on the petals and textures",2,erased
spring crocus,"A detailed botanical image of a spring crocus flower, focused on the petals and textures",3,erased
spring crocus,"A detailed botanical image of a spring crocus flower, focused on the petals and textures",4,erased
spring crocus,"A detailed botanical image of a spring crocus flower, focused on the petals and textures",5,erased
spring crocus,"A detailed botanical image of a spring crocus flower, focused on the petals and textures",7,erased
spring crocus,A vibrant close-up of a spring crocus flower covered in morning dew,0,erased
spring crocus,A vibrant close-up of a spring crocus flower covered in morning dew,1,erased
spring crocus,A vibrant close-up of a spring crocus flower covered in morning dew,2,erased
spring crocus,A vibrant close-up of a spring crocus flower covered in morning dew,3,erased
spring crocus,A vibrant close-up of a spring crocus flower covered in morning dew,4,erased
spring crocus,"A professional photograph of a single spring crocus flower, isolated",0,erased
spring crocus,"A professional photograph of a single spring crocus flower, isolated",1,erased
spring crocus,"A professional photograph of a single spring crocus flower, isolated",2,erased
spring crocus,"A professional photograph of a single spring crocus flower, isolated",4,erased
spring crocus,"A professional photograph of a single spring crocus flower, isolated",5,erased
spring crocus,An artistic close-up photo of a spring crocus flower with natural lighting and shallow depth of field,0,erased
spring crocus,An artistic close-up photo of a spring crocus flower with natural lighting and shallow depth of field,1,erased
spring crocus,An artistic close-up photo of a spring crocus flower with natural lighting and shallow depth of field,2,erased
spring crocus,An artistic close-up photo of a spring crocus flower with natural lighting and shallow depth of field,4,erased
spring crocus,An artistic close-up photo of a spring crocus flower with natural lighting and shallow depth of field,5,erased
gazania,A high-quality macro photograph of a gazania flower in full bloom,1,other
gazania,A high-quality macro photograph of a gazania flower in full bloom,3,other
gazania,A high-quality macro photograph of a gazania flower in full bloom,4,other
gazania,A high-quality macro photograph of a gazania flower in full bloom,7,other
gazania,A high-quality macro photograph of a gazania flower in full bloom,10,other
gazania,"A detailed botanical image of a gazania flower, focused on the petals and textures",1,other
gazania,"A detailed botanical image of a gazania flower, focused on the petals and textures",3,other
gazania,"A detailed botanical image of a gazania flower, focused on the petals and textures",4,other
gazania,"A detailed botanical image of a gazania flower, focused on the petals and textures",6,other
gazania,"A detailed botanical image of a gazania flower, focused on the petals and textures",7,other
gazania,A vibrant close-up of a gazania flower covered in morning dew,1,other
gazania,A vibrant close-up of a gazania flower covered in morning dew,3,other
gazania,A vibrant close-up of a gazania flower covered in morning dew,4,other
gazania,A vibrant close-up of a gazania flower covered in morning dew,6,other
gazania,A vibrant close-up of a gazania flower covered in morning dew,7,other
gazania,"A professional photograph of a single gazania flower, isolated",1,other
gazania,"A professional photograph of a single gazania flower, isolated",4,other
gazania,"A professional photograph of a single gazania flower, isolated",10,other
gazania,"A professional photograph of a single gazania flower, isolated",15,other
gazania,"A professional photograph of a single gazania flower, isolated",18,other
gazania,An artistic close-up photo of a gazania flower with natural lighting and shallow depth of field,1,other
gazania,An artistic close-up photo of a gazania flower with natural lighting and shallow depth of field,3,other
gazania,An artistic close-up photo of a gazania flower with natural lighting and shallow depth of field,4,other
gazania,An artistic close-up photo of a gazania flower with natural lighting and shallow depth of field,7,other
gazania,An artistic close-up photo of a gazania flower with natural lighting and shallow depth of field,10,other
water lily,A high-quality macro photograph of a water lily flower in full bloom,0,other
water lily,A high-quality macro photograph of a water lily flower in full bloom,1,other
water lily,A high-quality macro photograph of a water lily flower in full bloom,2,other
water lily,A high-quality macro photograph of a water lily flower in full bloom,3,other
water lily,A high-quality macro photograph of a water lily flower in full bloom,4,other
water lily,"A detailed botanical image of a water lily flower, focused on the petals and textures",0,other
water lily,"A detailed botanical image of a water lily flower, focused on the petals and textures",1,other
water lily,"A detailed botanical image of a water lily flower, focused on the petals and textures",2,other
water lily,"A detailed botanical image of a water lily flower, focused on the petals and textures",3,other
water lily,"A detailed botanical image of a water lily flower, focused on the petals and textures",4,other
water lily,A vibrant close-up of a water lily flower covered in morning dew,0,other
water lily,A vibrant close-up of a water lily flower covered in morning dew,1,other
water lily,A vibrant close-up of a water lily flower covered in morning dew,2,other
water lily,A vibrant close-up of a water lily flower covered in morning dew,3,other
water lily,A vibrant close-up of a water lily flower covered in morning dew,4,other
water lily,"A professional photograph of a single water lily flower, isolated",0,other
water lily,"A professional photograph of a single water lily flower, isolated",1,other
water lily,"A professional photograph of a single water lily flower, isolated",2,other
water lily,"A professional photograph of a single water lily flower, isolated",3,other
water lily,"A professional photograph of a single water lily flower, isolated",4,other
water lily,An artistic close-up photo of a water lily flower with natural lighting and shallow depth of field,0,other
water lily,An artistic close-up photo of a water lily flower with natural lighting and shallow depth of field,1,other
water lily,An artistic close-up photo of a water lily flower with natural lighting and shallow depth of field,2,other
water lily,An artistic close-up photo of a water lily flower with natural lighting and shallow depth of field,3,other
water lily,An artistic close-up photo of a water lily flower with natural lighting and shallow depth of field,4,other
rose,A high-quality macro photograph of a rose flower in full bloom,0,other
rose,A high-quality macro photograph of a rose flower in full bloom,1,other
rose,A high-quality macro photograph of a rose flower in full bloom,2,other
rose,A high-quality macro photograph of a rose flower in full bloom,3,other
rose,A high-quality macro photograph of a rose flower in full bloom,4,other
rose,"A detailed botanical image of a rose flower, focused on the petals and textures",0,other
rose,"A detailed botanical image of a rose flower, focused on the petals and textures",1,other
rose,"A detailed botanical image of a rose flower, focused on the petals and textures",2,other
rose,"A detailed botanical image of a rose flower, focused on the petals and textures",3,other
rose,"A detailed botanical image of a rose flower, focused on the petals and textures",4,other
rose,A vibrant close-up of a rose flower covered in morning dew,0,other
rose,A vibrant close-up of a rose flower covered in morning dew,1,other
rose,A vibrant close-up of a rose flower covered in morning dew,2,other
rose,A vibrant close-up of a rose flower covered in morning dew,3,other
rose,A vibrant close-up of a rose flower covered in morning dew,4,other
rose,"A professional photograph of a single rose flower, isolated",0,other
rose,"A professional photograph of a single rose flower, isolated",1,other
rose,"A professional photograph of a single rose flower, isolated",2,other
rose,"A professional photograph of a single rose flower, isolated",3,other
rose,"A professional photograph of a single rose flower, isolated",4,other
rose,An artistic close-up photo of a rose flower with natural lighting and shallow depth of field,0,other
rose,An artistic close-up photo of a rose flower with natural lighting and shallow depth of field,1,other
rose,An artistic close-up photo of a rose flower with natural lighting and shallow depth of field,2,other
rose,An artistic close-up photo of a rose flower with natural lighting and shallow depth of field,3,other
rose,An artistic close-up photo of a rose flower with natural lighting and shallow depth of field,4,other
passion flower,A high-quality macro photograph of a passion flower flower in full bloom,0,other
passion flower,A high-quality macro photograph of a passion flower flower in full bloom,1,other
passion flower,A high-quality macro photograph of a passion flower flower in full bloom,2,other
passion flower,A high-quality macro photograph of a passion flower flower in full bloom,3,other
passion flower,A high-quality macro photograph of a passion flower flower in full bloom,4,other
passion flower,"A detailed botanical image of a passion flower flower, focused on the petals and textures",0,other
passion flower,"A detailed botanical image of a passion flower flower, focused on the petals and textures",1,other
passion flower,"A detailed botanical image of a passion flower flower, focused on the petals and textures",2,other
passion flower,"A detailed botanical image of a passion flower flower, focused on the petals and textures",3,other
passion flower,"A detailed botanical image of a passion flower flower, focused on the petals and textures",4,other
passion flower,A vibrant close-up of a passion flower flower covered in morning dew,0,other
passion flower,A vibrant close-up of a passion flower flower covered in morning dew,1,other
passion flower,A vibrant close-up of a passion flower flower covered in morning dew,2,other
passion flower,A vibrant close-up of a passion flower flower covered in morning dew,3,other
passion flower,A vibrant close-up of a passion flower flower covered in morning dew,4,other
passion flower,"A professional photograph of a single passion flower flower, isolated",0,other
passion flower,"A professional photograph of a single passion flower flower, isolated",1,other
passion flower,"A professional photograph of a single passion flower flower, isolated",2,other
passion flower,"A professional photograph of a single passion flower flower, isolated",3,other
passion flower,"A professional photograph of a single passion flower flower, isolated",4,other
passion flower,An artistic close-up photo of a passion flower flower with natural lighting and shallow depth of field,0,other
passion flower,An artistic close-up photo of a passion flower flower with natural lighting and shallow depth of field,1,other
passion flower,An artistic close-up photo of a passion flower flower with natural lighting and shallow depth of field,2,other
passion flower,An artistic close-up photo of a passion flower flower with natural lighting and shallow depth of field,3,other
passion flower,An artistic close-up photo of a passion flower flower with natural lighting and shallow depth of field,4,other
lotus,A high-quality macro photograph of a lotus flower in full bloom,0,other
lotus,A high-quality macro photograph of a lotus flower in full bloom,1,other
lotus,A high-quality macro photograph of a lotus flower in full bloom,7,other
lotus,A high-quality macro photograph of a lotus flower in full bloom,10,other
lotus,A high-quality macro photograph of a lotus flower in full bloom,12,other
lotus,"A detailed botanical image of a lotus flower, focused on the petals and textures",5,other
lotus,"A detailed botanical image of a lotus flower, focused on the petals and textures",10,other
lotus,"A detailed botanical image of a lotus flower, focused on the petals and textures",13,other
lotus,"A detailed botanical image of a lotus flower, focused on the petals and textures",17,other
lotus,"A detailed botanical image of a lotus flower, focused on the petals and textures",18,other
lotus,A vibrant close-up of a lotus flower covered in morning dew,0,other
lotus,A vibrant close-up of a lotus flower covered in morning dew,3,other
lotus,A vibrant close-up of a lotus flower covered in morning dew,4,other
lotus,A vibrant close-up of a lotus flower covered in morning dew,5,other
lotus,A vibrant close-up of a lotus flower covered in morning dew,7,other
lotus,"A professional photograph of a single lotus flower, isolated",1,other
lotus,"A professional photograph of a single lotus flower, isolated",4,other
lotus,"A professional photograph of a single lotus flower, isolated",14,other
lotus,"A professional photograph of a single lotus flower, isolated",15,other
lotus,"A professional photograph of a single lotus flower, isolated",18,other
lotus,An artistic close-up photo of a lotus flower with natural lighting and shallow depth of field,0,other
lotus,An artistic close-up photo of a lotus flower with natural lighting and shallow depth of field,3,other
lotus,An artistic close-up photo of a lotus flower with natural lighting and shallow depth of field,10,other
lotus,An artistic close-up photo of a lotus flower with natural lighting and shallow depth of field,11,other
lotus,An artistic close-up photo of a lotus flower with natural lighting and shallow depth of field,14,other
anthurium,A high-quality macro photograph of a anthurium flower in full bloom,0,other
anthurium,A high-quality macro photograph of a anthurium flower in full bloom,1,other
anthurium,A high-quality macro photograph of a anthurium flower in full bloom,2,other
anthurium,A high-quality macro photograph of a anthurium flower in full bloom,3,other
anthurium,A high-quality macro photograph of a anthurium flower in full bloom,4,other
anthurium,"A detailed botanical image of a anthurium flower, focused on the petals and textures",0,other
anthurium,"A detailed botanical image of a anthurium flower, focused on the petals and textures",1,other
anthurium,"A detailed botanical image of a anthurium flower, focused on the petals and textures",2,other
anthurium,"A detailed botanical image of a anthurium flower, focused on the petals and textures",3,other
anthurium,"A detailed botanical image of a anthurium flower, focused on the petals and textures",5,other
anthurium,A vibrant close-up of a anthurium flower covered in morning dew,1,other
anthurium,A vibrant close-up of a anthurium flower covered in morning dew,2,other
anthurium,A vibrant close-up of a anthurium flower covered in morning dew,3,other
anthurium,A vibrant close-up of a anthurium flower covered in morning dew,4,other
anthurium,A vibrant close-up of a anthurium flower covered in morning dew,5,other
anthurium,"A professional photograph of a single anthurium flower, isolated",1,other
anthurium,"A professional photograph of a single anthurium flower, isolated",2,other
anthurium,"A professional photograph of a single anthurium flower, isolated",3,other
anthurium,"A professional photograph of a single anthurium flower, isolated",4,other
anthurium,"A professional photograph of a single anthurium flower, isolated",5,other
anthurium,An artistic close-up photo of a anthurium flower with natural lighting and shallow depth of field,0,other
anthurium,An artistic close-up photo of a anthurium flower with natural lighting and shallow depth of field,1,other
anthurium,An artistic close-up photo of a anthurium flower with natural lighting and shallow depth of field,2,other
anthurium,An artistic close-up photo of a anthurium flower with natural lighting and shallow depth of field,3,other
anthurium,An artistic close-up photo of a anthurium flower with natural lighting and shallow depth of field,4,other
frangipani,A high-quality macro photograph of a frangipani flower in full bloom,0,other
frangipani,A high-quality macro photograph of a frangipani flower in full bloom,1,other
frangipani,A high-quality macro photograph of a frangipani flower in full bloom,4,other
frangipani,A high-quality macro photograph of a frangipani flower in full bloom,5,other
frangipani,A high-quality macro photograph of a frangipani flower in full bloom,6,other
frangipani,"A detailed botanical image of a frangipani flower, focused on the petals and textures",0,other
frangipani,"A detailed botanical image of a frangipani flower, focused on the petals and textures",1,other
frangipani,"A detailed botanical image of a frangipani flower, focused on the petals and textures",3,other
frangipani,"A detailed botanical image of a frangipani flower, focused on the petals and textures",4,other
frangipani,"A detailed botanical image of a frangipani flower, focused on the petals and textures",5,other
frangipani,A vibrant close-up of a frangipani flower covered in morning dew,0,other
frangipani,A vibrant close-up of a frangipani flower covered in morning dew,1,other
frangipani,A vibrant close-up of a frangipani flower covered in morning dew,4,other
frangipani,A vibrant close-up of a frangipani flower covered in morning dew,5,other
frangipani,A vibrant close-up of a frangipani flower covered in morning dew,6,other
frangipani,"A professional photograph of a single frangipani flower, isolated",0,other
frangipani,"A professional photograph of a single frangipani flower, isolated",1,other
frangipani,"A professional photograph of a single frangipani flower, isolated",2,other
frangipani,"A professional photograph of a single frangipani flower, isolated",3,other
frangipani,"A professional photograph of a single frangipani flower, isolated",4,other
frangipani,An artistic close-up photo of a frangipani flower with natural lighting and shallow depth of field,0,other
frangipani,An artistic close-up photo of a frangipani flower with natural lighting and shallow depth of field,1,other
frangipani,An artistic close-up photo of a frangipani flower with natural lighting and shallow depth of field,4,other
frangipani,An artistic close-up photo of a frangipani flower with natural lighting and shallow depth of field,5,other
